week,dow,validations
1,1,85434
1,2,94128
1,3,95826
1,4,211194
1,5,123672
1,6,184024
1,7,31184
2,1,95809
2,2,109114
2,3,111408
2,4,114750
2,5,112016
2,6,50980
2,7,36411
3,1,111864
3,2,118664
3,3,119896
3,4,116472
3,5,116383
3,6,43124
3,7,26837
4,1,82798
4,2,35585
4,3,135167
4,4,146686
4,5,151053
4,6,54479
4,7,37150
5,1,143788
5,2,152015
5,3,153283
5,4,146231
5,5,137220
5,6,51817
5,7,141196
6,1,252700
6,2,289140
6,3,154186
6,4,145767
6,5,154265
6,6,57148
6,7,44871
7,1,146780
7,2,154348
7,3,148016
7,4,142307
7,5,147447
7,6,64445
7,7,42312
8,1,156327
8,2,163435
8,3,166407
8,4,164624
8,5,165521
8,6,76833
8,7,49230
9,1,166750
9,2,183339
9,3,183339
9,4,182594
9,5,169591
9,6,69718
9,7,97946
10,1,157910
10,2,305986
10,3,182787
10,4,182478
10,5,177177
10,6,57682
10,7,44161
11,1,165859
11,2,182678
11,3,185375
11,4,181892
11,5,176806
11,6,71655
11,7,43507
12,1,160214
12,2,180252
12,3,176721
12,4,176166
12,5,169139
12,6,61062
12,7,40396
13,1,162432
13,2,181112
13,3,179826
13,4,171256
13,5,34512
13,6,48899
13,7,31367
14,1,35161
14,2,166984
14,3,197577
14,4,287098
14,5,207785
14,6,50037
14,7,35323
15,1,115930
15,2,116528
15,3,121748
15,4,123092
15,5,122308
15,6,51182
15,7,40829
16,1,110419
16,2,112159
16,3,117802
16,4,117026
16,5,114256
16,6,49008
16,7,41685
17,1,34558
17,2,167709
17,3,173226
17,4,172375
17,5,166929
17,6,61239
17,7,39297
18,1,156998
18,2,173330
18,3,173148
18,4,172317
18,5,263590
18,6,185394
18,7,61677
19,1,143150
19,2,171426
19,3,171679
19,4,160782
19,5,157604
19,6,59638
19,7,38155
20,1,153814
20,2,171922
20,3,172663
20,4,171170
20,5,166003
20,6,66185
20,7,42394
21,1,153246
21,2,146329
21,3,165752
21,4,166675
21,5,159780
21,6,58088
21,7,42317
22,1,149213
22,2,164067
22,3,161990
22,4,163463
22,5,160141
22,6,58605
22,7,37706
23,1,250480
23,2,256787
23,3,272834
23,4,161033
23,5,146256
23,6,56883
23,7,44067
24,1,35079
24,2,149760
24,3,148663
24,4,142826
24,5,147622
24,6,54317
24,7,38575
25,1,145214
25,2,151774
25,3,148061
25,4,138557
25,5,145311
25,6,57613
25,7,32181
26,1,139879
26,2,142942
26,3,139556
26,4,0
26,5,0
26,6,0
26,7,0
27,1,0
27,2,0
27,3,110566
27,4,41690
27,5,134319
27,6,0
27,7,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
29,1,0
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,0
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
31,1,0
31,2,0
31,3,0
31,4,0
31,5,0
31,6,116497
31,7,28555
32,1,135852
32,2,0
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,0
34,1,0
34,2,0
34,3,0
34,4,0
34,5,0
34,6,0
34,7,0
35,1,0
35,2,0
35,3,0
35,4,0
35,5,0
35,6,0
35,7,0
36,1,0
36,2,102791
36,3,122793
36,4,134707
36,5,0
36,6,0
36,7,0
37,1,0
37,2,0
37,3,0
37,4,0
37,5,0
37,6,0
37,7,0
38,1,0
38,2,0
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
39,1,0
39,2,0
39,3,0
39,4,0
39,5,94144
39,6,42463
39,7,30309
40,1,21958
40,2,107400
40,3,107095
40,4,155545
40,5,239505
40,6,170597
40,7,28873
41,1,123146
41,2,137454
41,3,129790
41,4,128761
41,5,128036
41,6,43721
41,7,32171
42,1,126888
42,2,140012
42,3,137849
42,4,139620
42,5,134424
42,6,56752
42,7,31880
43,1,135316
43,2,141700
43,3,135412
43,4,124916
43,5,129884
43,6,48090
43,7,33756
44,1,123124
44,2,129323
44,3,126896
44,4,129385
44,5,127225
44,6,43603
44,7,70686
45,1,242629
45,2,176816
45,3,128385
45,4,116624
45,5,118648
45,6,48934
45,7,29084
46,1,117675
46,2,127011
46,3,126905
46,4,126400
46,5,123796
46,6,45779
46,7,33288
47,1,118960
47,2,117987
47,3,123046
47,4,126167
47,5,125618
47,6,48598
47,7,33927
48,1,113923
48,2,118490
48,3,120137
48,4,120908
48,5,117495
48,6,43679
48,7,31897
49,1,106456
49,2,206052
49,3,242789
49,4,141455
49,5,112812
49,6,44756
49,7,31802
50,1,93013
50,2,103736
50,3,103862
50,4,108557
50,5,97613
50,6,46461
50,7,31918
51,1,86509
51,2,85570
51,3,83479
51,4,75879
51,5,50386
51,6,11399
51,7,24355
52,1,24593
52,2,26348
52,3,42811
52,4,39576
52,5,35048
52,6,0
52,7,0
